# live verify copy
# inventory_transfers.csv
transfer_id,sku,from_fc,to_fc,quantity_sent,quantity_received,transfer_date
XFER-101,SKU-WIDGET-A,PHX6,MDW2,50,50,2025-01-18
XFER-102,SKU-GADGET-B,MDW2,RIC3,30,30,2025-01-19
XFER-103,SKU-DOODAD-C,RIC3,PHX6,75,75,2025-01-20
XFER-104,SKU-CONTRA-D,PHX6,MDW2,25,25,2025-01-21
XFER-105,SKU-WIDGET-A,MDW2,RIC3,40,39,2025-01-22
XFER-106,SKU-THING-E,RIC3,PHX6,60,60,2025-01-23
XFER-107,SKU-FRAME-F,PHX6,MDW2,20,20,2025-01-24
XFER-108,SKU-GADGET-B,MDW2,RIC3,15,15,2025-01-25
XFER-109,SKU-DOODAD-C,RIC3,PHX6,45,45,2025-01-26
XFER-110,SKU-WIDGET-A,PHX6,MDW2,35,35,2025-01-27
XFER-111,SKU-CONTRA-D,MDW2,RIC3,10,10,2025-01-28
XFER-112,SKU-WIDGET-A,RIC3,PHX6,55,55,2025-01-29
XFER-113,SKU-GADGET-B,PHX6,MDW2,22,22,2025-01-30
XFER-114,SKU-DOODAD-C,MDW2,RIC3,33,32,2025-01-31
XFER-115,SKU-FRAME-F,RIC3,PHX6,18,18,2025-02-01
