# inventory_transfers_recent.csv
transfer_id,sku,from_fc,to_fc,quantity_sent,quantity_received,transfer_date
XFER-101,SKU-WIDGET-A,PHX6,MDW2,50,50,2026-02-26
XFER-102,SKU-GADGET-B,MDW2,RIC3,30,30,2026-02-27
XFER-103,SKU-DOODAD-C,RIC3,PHX6,75,75,2026-02-28
XFER-104,SKU-CONTRA-D,PHX6,MDW2,25,25,2026-03-01
XFER-105,SKU-WIDGET-A,MDW2,RIC3,40,39,2026-03-02
XFER-106,SKU-THING-E,RIC3,PHX6,60,60,2026-03-03
XFER-107,SKU-FRAME-F,PHX6,MDW2,20,20,2026-03-04
XFER-108,SKU-GADGET-B,MDW2,RIC3,15,15,2026-03-05
XFER-109,SKU-DOODAD-C,RIC3,PHX6,45,45,2026-03-06
XFER-110,SKU-WIDGET-A,PHX6,MDW2,35,35,2026-03-07
XFER-111,SKU-CONTRA-D,MDW2,RIC3,10,10,2026-03-08
XFER-112,SKU-WIDGET-A,RIC3,PHX6,55,55,2026-03-09
XFER-113,SKU-GADGET-B,PHX6,MDW2,22,22,2026-03-10
XFER-114,SKU-DOODAD-C,MDW2,RIC3,33,32,2026-03-11
XFER-115,SKU-FRAME-F,RIC3,PHX6,18,18,2026-03-12
