# financial_events.csv
event_id,sku,event_type,amount,fee_type,event_date
FE-2025-01-31-001,SKU-WIDGET-A,Storage,15.75,Monthly Storage,2025-01-31
FE-2025-01-31-002,SKU-GADGET-B,Storage,8.20,Monthly Storage,2025-01-31
FE-2025-01-31-003,SKU-DOODAD-C,Storage,22.00,Monthly Storage,2025-01-31
FE-2025-02-01-004,SKU-WIDGET-A,FBA Fee,3.50,Per Unit Fee,2025-02-01
FE-2025-02-01-005,SKU-GADGET-B,FBA Fee,4.75,Per Unit Fee,2025-02-01
FE-2025-02-01-006,SKU-CONTRA-D,FBA Fee,6.00,Per Unit Fee,2025-02-01
FE-2025-02-05-007,SKU-THING-E,Long-Term Storage,25.00,Long-Term,2025-02-05
FE-2025-02-05-008,SKU-FRAME-F,Removal,2.50,Removal Fee,2025-02-05
FE-2025-02-10-009,SKU-WIDGET-A,FBA Fee,3.75,Per Unit Fee,2025-02-10
FE-2025-02-10-010,SKU-DOODAD-C,FBA Fee,2.25,Per Unit Fee,2025-02-10
FE-2025-02-15-011,SKU-GADGET-B,Storage,9.10,Monthly Storage,2025-02-15
FE-2025-02-15-012,SKU-CONTRA-D,FBA Fee,5.75,Per Unit Fee,2025-02-15
FE-2025-02-18-013,SKU-FRAME-F,FBA Fee,3.25,Per Unit Fee,2025-02-18
FE-2025-02-20-014,SKU-WIDGET-A,Reimbursement Fee,5.00,Reversal,2025-02-20
FE-2025-02-20-015,SKU-WIDGET-A,FBA Fee,7.50,Per Unit Fee,2025-02-20
