# inventory_ledger_events.csv
event_id,sku,event_type,quantity,event_date
INV-001,SKU-WIDGET-A,RECEIVE,100,2025-01-12
INV-002,SKU-GADGET-B,RECEIVE,50,2025-01-13
INV-003,SKU-DOODAD-C,RECEIVE,200,2025-01-14
INV-004,SKU-CONTRA-D,RECEIVE,75,2025-01-15
INV-005,SKU-WIDGET-A,SHIP,-2,2025-01-16
INV-006,SKU-WIDGET-A,SHIP,-1,2025-01-17
INV-007,SKU-GADGET-B,SHIP,-1,2025-01-17
INV-008,SKU-DOODAD-C,SHIP,-3,2025-01-18
INV-009,SKU-CONTRA-D,SHIP,-2,2025-01-19
INV-010,SKU-WIDGET-A,SHIP,-1,2025-01-20
INV-011,SKU-WIDGET-A,SHIP,-2,2025-01-21
INV-012,SKU-THING-E,RECEIVE,150,2025-01-16
INV-013,SKU-FRAME-F,RECEIVE,80,2025-01-17
INV-014,SKU-WIDGET-A,RECEIVE,119,2025-01-22
INV-015,SKU-WIDGET-A,ADJUSTMENT,-1,2025-01-23
INV-016,SKU-DOODAD-C,RECEIVE,178,2025-01-24
INV-017,SKU-DOODAD-C,ADJUSTMENT,-2,2025-01-25
INV-018,SKU-WIDGET-A,DAMAGED,-1,2025-01-26
INV-019,SKU-CONTRA-D,DAMAGED,-1,2025-01-26
INV-020,SKU-THING-E,UNSELLABLE,-1,2025-01-27
INV-021,SKU-WIDGET-A,SHIP,-1,2025-01-22
INV-022,SKU-WIDGET-A,SHIP,-3,2025-01-25
INV-023,SKU-CONTRA-D,SHIP,-1,2025-01-23
INV-024,SKU-FRAME-F,DAMAGED,-1,2025-01-29
INV-025,SKU-WIDGET-A,LOST,-1,2025-01-30
INV-026,SKU-WIDGET-A,SHIP,-1,2025-01-26
INV-027,SKU-GADGET-B,SHIP,-1,2025-01-27
INV-028,SKU-CONTRA-D,SHIP,-1,2025-01-28
INV-029,SKU-WIDGET-A,SHIP,-1,2025-01-29
INV-030,SKU-DOODAD-C,SHIP,-1,2025-01-30
