# orders.csv
order_id,asin,sku,purchase_date,quantity,price,order_status
2025-01-15-1001,B001EXAMPLE,SKU-WIDGET-A,2025-01-15 10:23:00,2,25.99,Shipped
2025-01-15-1002,B002EXAMPLE,SKU-GADGET-B,2025-01-15 11:45:00,1,49.95,Shipped
2025-01-16-1003,B003EXAMPLE,SKU-DOODAD-C,2025-01-16 09:12:00,3,12.50,Shipped
2025-01-16-1004,B001EXAMPLE,SKU-WIDGET-A,2025-01-16 14:30:00,1,25.99,Shipped
2025-01-17-1005,B004EXAMPLE,SKU-CONTRA-D,2025-01-17 08:15:00,2,89.99,Shipped
2025-01-17-1006,B002EXAMPLE,SKU-GADGET-B,2025-01-17 16:20:00,1,49.95,Cancelled
2025-01-18-1007,B001EXAMPLE,SKU-WIDGET-A,2025-01-18 12:00:00,1,25.99,Shipped
2025-01-18-1008,B005EXAMPLE,SKU-THING-E,2025-01-18 13:10:00,1,15.75,Shipped
2025-01-19-1009,B003EXAMPLE,SKU-DOODAD-C,2025-01-19 10:05:00,2,12.50,Shipped
2025-01-19-1010,B006EXAMPLE,SKU-FRAME-F,2025-01-19 18:30:00,1,35.00,Shipped
2025-01-20-1011,B001EXAMPLE,SKU-WIDGET-A,2025-01-20 09:45:00,2,25.99,Shipped
2025-01-20-1012,B002EXAMPLE,SKU-GADGET-B,2025-01-20 15:20:00,1,49.95,Shipped
2025-01-21-1013,B004EXAMPLE,SKU-CONTRA-D,2025-01-21 11:10:00,1,89.99,Shipped
2025-01-21-1014,B005EXAMPLE,SKU-THING-E,2025-01-21 16:55:00,3,15.75,Shipped
2025-01-22-1015,B001EXAMPLE,SKU-WIDGET-A,2025-01-22 08:30:00,1,25.99,Shipped
2025-01-22-1016,B006EXAMPLE,SKU-FRAME-F,2025-01-22 14:00:00,2,35.00,Shipped
2025-01-23-1017,B003EXAMPLE,SKU-DOODAD-C,2025-01-23 10:00:00,1,12.50,Shipped
2025-01-23-1018,B002EXAMPLE,SKU-GADGET-B,2025-01-23 17:45:00,1,49.95,Shipped
2025-01-24-1019,B001EXAMPLE,SKU-WIDGET-A,2025-01-24 13:20:00,3,25.99,Shipped
2025-01-24-1020,B004EXAMPLE,SKU-CONTRA-D,2025-01-24 19:10:00,1,89.99,Shipped
