# settlements.csv
settlement_id,order_id,transaction_type,amount,posted_date
SET-2025-01-31-001,2025-01-15-1001,Order,51.98,2025-01-31
SET-2025-01-31-002,2025-01-15-1002,Order,49.95,2025-01-31
SET-2025-01-31-003,2025-01-16-1003,Order,37.50,2025-01-31
SET-2025-01-31-004,2025-01-16-1004,Order,25.99,2025-01-31
SET-2025-01-31-005,2025-01-17-1005,Order,179.98,2025-01-31
SET-2025-01-31-006,2025-01-18-1007,Order,25.99,2025-01-31
SET-2025-01-31-007,2025-01-18-1008,Order,15.75,2025-01-31
SET-2025-01-31-008,2025-01-19-1009,Order,25.00,2025-01-31
SET-2025-01-31-009,2025-01-19-1010,Order,35.00,2025-01-31
SET-2025-01-31-010,2025-01-20-1011,Order,51.98,2025-01-31
SET-2025-02-15-011,2025-01-22-1015,Order,25.99,2025-02-15
SET-2025-02-15-012,2025-01-22-1016,Order,70.00,2025-02-15
SET-2025-02-15-013,2025-01-23-1017,Order,12.50,2025-02-15
SET-2025-02-15-014,2025-01-23-1018,Order,49.95,2025-02-15
SET-2025-02-15-015,2025-01-24-1019,Order,77.97,2025-02-15
SET-2025-02-15-016,2025-01-24-1020,Order,89.99,2025-02-15
SET-2025-02-15-017,2025-01-15-1001,Refund,-25.99,2025-02-15
SET-2025-02-15-018,2025-01-17-1005,Refund,-89.99,2025-02-15
SET-2025-02-15-019,2025-01-18-1008,Refund,-15.75,2025-02-15
SET-2025-02-15-020,2025-01-20-1011,Refund,-51.98,2025-02-15
SET-2025-02-15-021,2025-01-21-1013,Refund,-89.99,2025-02-15
SET-2025-02-15-022,2025-01-22-1016,Refund,-35.00,2025-02-15
SET-2025-02-15-023,2025-01-23-1017,Refund,-12.50,2025-02-15
SET-2025-02-15-024,2025-01-24-1019,Refund,-25.99,2025-02-15
SET-2025-02-15-025,2025-01-17-1006,Refund,-49.95,2025-02-15
SET-2025-02-20-026,2025-01-18-1007,Reimbursement,25.99,2025-02-20
SET-2025-02-20-027,2025-01-16-1003,Fulfillment Fee,-5.00,2025-02-20
SET-2025-02-20-028,2025-01-16-1003,Storage Fee,-2.50,2025-02-20
