# shipments.csv
shipment_id,sku,shipped_quantity,received_quantity,shipment_date,status
FBA-15G7H2J3K,SKU-WIDGET-A,100,100,2025-01-10,CLOSED
FBA-28D4F5G6H,SKU-GADGET-B,50,50,2025-01-11,CLOSED
FBA-39S2D1F4G,SKU-DOODAD-C,200,200,2025-01-12,CLOSED
FBA-41A2B3C4D,SKU-CONTRA-D,75,75,2025-01-13,CLOSED
FBA-52E5R6T7Y,SKU-THING-E,150,150,2025-01-14,CLOSED
FBA-63W8Q9U0I,SKU-FRAME-F,80,80,2025-01-15,CLOSED
FBA-74O9P0Z1X,SKU-WIDGET-A,120,119,2025-01-20,RECEIVING
FBA-85C2V3B4N,SKU-GADGET-B,60,60,2025-01-21,CLOSED
FBA-96M5A6S7D,SKU-DOODAD-C,180,178,2025-01-22,RECEIVING
FBA-07F8G9H0J,SKU-CONTRA-D,90,90,2025-01-23,SHIPPED
FBA-18K1L2Z3X,SKU-THING-E,110,110,2025-01-24,CLOSED
FBA-29C4V5B6N,SKU-FRAME-F,70,70,2025-01-25,CLOSED
FBA-30M7N8B9V,SKU-WIDGET-A,200,200,2025-01-26,CLOSED
FBA-41Q2W3E4R,SKU-GADGET-B,55,55,2025-01-27,SHIPPED
FBA-52T5Y6U7I,SKU-DOODAD-C,130,130,2025-01-28,CLOSED
